name,link
بدر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945822-5f2f53e5-236d-4450-890a-8739d5a726e2.wav
جابر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945921-286f9902-5bb5-4eec-b55d-93b33dbc7d46.wav
عازم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944930-b9818f24-879c-4e80-b209-4c97938b03e0.wav
فرح,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945134-83e7166a-7cf6-4a33-b2c2-e6c460c3f090.wav
هنادي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945708-f68f0a43-de74-4e44-97e4-784f90337e40.wav
خولة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747946082-677a2fdc-a6a3-4a02-81cb-8c94f366b561.wav
منيرة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945980-647342d8-273f-4043-8b2b-91ef56c2236f.wav
بهجت,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945700-ab38fece-1273-4a89-bc86-40cf2548e8c3.wav
موسى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945418-bd9ec3f5-34e2-41f8-ba55-8909a65bf7c3.wav
نصير,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945758-9dba4b27-2e7d-4f8b-90c0-92bc86ff9c77.wav
مثال صوت مستنسخ من لهجاتي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751206110-7ad9eeaa-4750-473e-9d20-2bc6c63de90d.mp3
رحمة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747938956-7f101a00-5099-4b9b-8de4-51990f4479bf.wav
نورة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944437-5247ce1f-fab7-49bd-8c77-5f0150d6faaf.wav
